text,discurso_de_odio,ataque_individual
Que voz insuportável,0,1
"USER USER Pq se ofendeu com isso?! Vc é viadinho mesmo, podeira ter reclamado de eu ter complementado com ""de merda""",0,1
não ame o seu idolo porra vc ama piru porra.,0,1
Que horror muiito gorda é feio mesmo.,0,1
"ARTHUR INSUPORTÁVEL!!!! HASHTAG Tá falando que o jogo é individual e pipipopo, vitimas, vítimas, vítimas. Os mofados aqui fora lixo igual mesmo",0,1
Meu USER mas eu tô para ver uma pessoa Cara de Pau igual esse sujeito,0,1
caralho que psicologia — né mano tomei uma dura só por ser babaca online vê se pode cara imbecil,0,1
Babaca demais esse Flávio Prado🤬,0,1
Ele merece morre 😡 e essa pessoa que meteu a faca nele fez o certo,0,1
"USER ridícula essa menina slc Isso é abuso . Se fosse um homem gritando com todo mundo , era homofobia . E isso , o que é 🤔",0,1
rt USER aí mano que ridículo ficar roubando coisa dos outros né?! consciência de psycho essa daí...,0,1
Bobão… vc acha que quem está por trás disso está preocupado com seus problemas???,0,1
USER eu to zoando vc mongoloide,0,1
USER USER temos culpa se vc e uma idiota da midia...USER',0,1
Melhor menos um homofóbico no local,0,1
Ele diz que errou na forma que defendeu e não que mudou o pensamento enfim ele é um bosta,0,1
"RT USER: USER USER USER Tá passando pano sim querida, deram espaço pra essa merda aí e ainda deram capital…",0,1
"Que merda, cara! Que ideia mais estupida foi essa do Monark, velho? O flow nunca mais será o mesmo.",0,1
USER USER USER GABRIEL ME ERRA SEU FUDIDO,0,1
USER e vc é um deles né seu bosta do krlh,0,1
esse é o nosso presidente kkkk ta mais e USER na hora desse maluco sair do poder,0,1
USER TRAZ A INSULINA Q O GORDOLA CAIU DA CAMA,0,1
USER Cala a boca vagabundo lixo...esquerdista de merda...defensor de bandido.,0,1
USER Basta errar o pronome pra essa puta aí voltar a dropar uma cartela de antidepressivo por semana. Não vou sair de casa pra votar em quem tem relação com empresário safado que quer taxar o coitado que faz pequenas compras no exterior(eu).,0,1
"USER li alguns de seus comentarios e contatei USER eh muito otaria porra se USER USER gosta da critica dele USER assiste se USER acha que o certo eh vive se iludindo que vai axa um principe encantado esquecendo da vida viva essa sua vidinha escrota se USER USER faiz entao um video falando bem de crepusculo USER era melhor USER fala q era gorda pq falando que USER eh parece que USER esta desperdiçando mais a sua vida, USER2 USER ve o felipe USER chingando quem fala mal de harry USER pq ele gost",0,1
vou é dormir esses dois tempos de matemática slk velho chato fdp fala muito smt seu cachorro,0,1
Vai se foder seu burro cada analfabeto mano.,0,1
neguin ta com o cu na mao USER,0,1
"Seu cuzao mané, geral me ignorando no bgl",0,1
"USER ""Vá pro quintos dos Infernos, seu FDP...!"" É de coração.",0,1
essa menina é uma arrombada e tem gnt q da palco ainda,0,1
USER não passa de um drogado que só fala bosta e agora podemos ver que ele aprova o nazismo...,0,1
Esse cara é mais mulher que a mulher...gaydmskkkkk,0,1
"tô de saco cheio disso, mostro as tatuagens bem feliz da vida e ela solta um “tá e agr chega né?” chega o cacete, eu vou ser a sobrinha q tu não desejava porra, n sou a garota que tu queria q eu fosse, que tu fazia vestir rosa da cabeça aos pés, que não retruca e os caramba.. velha chata da porra",0,1
USER USER Negacionista ratazana vermelha.Mariopol foi toda arrasada ja nao existe..assassinos.de mulheres crianças idosos.é a escoria do mundo.Negacionista vc é  a merda no mundo,0,1
"""Cala boca viadooo"" huahuahua",0,1
Mds que mulher chata vo votar pra ela sair mano,0,1
USER Gabigol melhor da a bunda para entretenimento! 🤩,0,1
"USER! O argumento desse Monark é o uso da palavra ""M3rda""... e só., o cara não tem condições. estúpido",0,1
"USER USER. Eles já tem muitos clientes. USER não vai fazer falta não 😔. Na verdade, tirando uma pessoa tão agressiva e inútil como você, os clientes seriam apenas mais atraídos para a loja",0,1
RT USER: Kkkkk que otario este capitao ze cueca kkkkkk URL,0,1
fala do presidente genocida de nazista e ninguem fala nada o monark falou merda mas e USER USER fala e não da nada hipócrita vc viu,0,1
USER louis come a buceta dela logo ninguém aguenta mais ou vc é gay????,0,1
"RT USER: Senador miliciano, vagabundo, ladrão da rachadinha, mentiroso, como esse aí não perco tempo! HASHTAG Fonte d…",0,1
USER pqp e o caba burro ainda compactua c isso,0,1
"USER fala muita merda, era questão de tempo ele fazer algo do tipo! USER devia ter previsto isso... USER tem apenas idade de um adulto, é um cara desconstruido e imaturo.",0,1
"eu sei onde tu mora, vou arrancar os teus cabelo do rabo, amor",0,1
"Doente esse cara,",0,1
"USER USER USER Cê tá espumando num negócio que não muda nada na sua vida, vá pra puta que te pariu mermao",0,1
"USER CHATO PQP... foi USER que compraram a roupa dela por acaso? para de dar palpite aonde USER foram chamdos gente!!! plmds vagabunda tem uma louça pra lavar? um chao pra varrer? a menina independente de tudo, ela ta indo pra reuniao da FILHA USER, USER é a sua.. e USER tem essa de ""padrao"" a pessoa vai do jeito q quiser! se USER tinha uma placa avisando ""tem roupas que USER podem usar para entrar em uma reuniao"" ME USER USER USER",0,1
